Q_solar,Q_design,mode,Q_to_pb,Q_to_storage,Q_from_storage,m_dot_charge,m_dot_discharge,Q_defocus,tank_soc,hour,day_of_year,DNI,T_amb,Q_sg_oil,m_oil_field,T_sg_oil_in,m_steam,P_turbine,P_net
170544167.48196188,140437000.0,charging,140437000.0,30107167.48196188,0.0,213.33997804950877,0.0,-3.725290298461914e-09,0.046069048121918955,9,74,765.9395256399205,13.45,142315053.4212148,712.6453449052165,665.9911778954244,57.5351049005718,55909596.74828707,53238670.456046015
161756204.53601205,140437000.0,charging,140437000.0,21319204.536012053,0.0,151.06830061216445,0.0,0.0,0.06515135977819236,10,74,846.3018087926057,15.85,142218414.89398408,675.9234741013194,665.9910701463931,57.496035893688884,55871631.536892116,53297882.16936461
157893796.01347888,140437000.0,charging,140437000.0,17456796.013478875,0.0,123.6991982245303,0.0,0.0,0.08077652165918567,11,74,920.5660803939352,17.75,142175941.17470935,659.7837989992875,665.9910227432196,57.47886462589084,55854945.39962159,53323906.383118056
148291046.91178772,140437000.0,charging,140437000.0,7854046.911787719,0.0,55.653930140206526,0.0,0.0,0.08780649178215912,12,74,887.092875803425,19.15,142070342.6945748,619.657217441834,665.9909047664562,57.436173290815404,55813460.19971037,53388607.97896798
165763990.21975952,140437000.0,charging,140437000.0,25326990.219759524,0.0,179.46754840955654,0.0,0.0,0.11047607684441889,13,74,904.8598537952811,20.2,142262487.28122064,692.6706302959374,665.9911193038982,57.513853470690876,55888945.723542765,53270878.4304558
192121380.14990777,140437000.0,charging,140437000.0,51684380.14990777,0.0,366.2365293344188,0.0,0.0,0.15673753318139813,14,74,900.0031456128966,20.82,142552331.39641747,802.8090860103931,665.991441834462,57.63103159887745,56002813.30235028,53093287.09977081
206822813.67602223,140437000.0,charging,140437000.0,66385813.67602223,0.0,470.41117504417167,0.0,0.0,0.21615789213434614,15,74,831.0219545955431,21.07,142713998.54190758,864.2413139224211,665.9916211649662,57.696390364174135,56066325.50105375,52994231.46475271
213743128.8336206,140437000.0,charging,140437000.0,73306128.83362061,0.0,519.4486636987342,0.0,0.0,0.281772460180502,16,74,760.5278279526851,20.84,142790099.12049705,893.1589277884107,665.9917054397672,57.72715629277328,56096222.21653792,52947603.62623043
171034773.26453972,140437000.0,charging,140437000.0,30597773.26453972,0.0,216.81642022723364,0.0,0.0,0.3091597974723631,17,74,578.2679256495502,19.99,142320448.46220168,714.6954175186622,665.9911839064268,57.537286006798176,55911716.23290071,53235364.84254638
0.0,140437000.0,discharging,140437000.0,0.0,140437000.0,0.0,995.1393307022093,0.0,0.18345798727839982,18,74,0.0,18.43,142209441.5168375,1.0,654.15,57.49240813834587,55868106.27455568,53303380.27711028
